N,threads,seq_time,par_time,speedup
10000,1,0.00157929,0.00144391,1.0937593063279567
10000,4,0.00157929,0.00421773,0.3744407536755553
10000,16,0.00157929,0.00426201,0.37055051489790025
10000,64,0.00157929,0.00850812,0.18562150040196895
1000000,1,0.0937723,0.0962674,0.9740815686307098
1000000,4,0.0937723,0.124071,0.755795471947514
1000000,16,0.0937723,0.218191,0.42977162211090286
1000000,64,0.0937723,0.089556,1.047080039305016
100000000,1,11.9921,12.525,0.9574530938123753
100000000,4,11.9921,26.9356,0.44521376913824084
100000000,16,11.9921,23.9208,0.5013252065148323
100000000,64,11.9921,10.3582,1.1577397617346643
1000000000,1,161.663,150.654,1.0730747275213404
1000000000,4,161.663,146.306,1.104964936502946
1000000000,16,161.663,149.237,1.083263533842144
1000000000,64,161.663,183.545,0.8807812797951458
